sku_id,product_title,description,brand,category,price,mrp,image_url,product_url,availability,color,size,material
SHOE001,Nike Blue Running Shoes,Lightweight running shoes with breathable mesh upper and cushioned sole for daily runs,Nike,Shoes,3999,4999,https://images.unsplash.com/photo-1542291026-7eec264c27ff,https://flipkart.com/shoe001,in_stock,Blue,10,Mesh
SHOE002,Adidas Ultraboost Men,Premium running shoes with boost technology for maximum comfort and energy return,Adidas,Shoes,8999,12999,https://images.unsplash.com/photo-1608231387042-66d1773070a5,https://flipkart.com/shoe002,in_stock,Black,9,Synthetic
SHOE003,,Nike shoes for casual wear,Nike,Shoes,2999,3999,,https://flipkart.com/shoe003,in_stock,Grey,,
SHOE004,Puma RS-X Reinvention,Bold chunky sneakers with retro-inspired design and comfortable cushioning,Puma,Shoes,5499,7999,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519,https://flipkart.com/shoe004,in_stock,White,8,Synthetic
SHOE005,Reebok Classic Leather,Timeless leather sneakers with soft garment leather upper and die-cut EVA midsole,Reebok,Shoes,4299,5999,https://images.unsplash.com/photo-1605348532760-6753d2c43329,https://flipkart.com/shoe005,in_stock,White,10,Leather
SHOE006,Skechers Go Walk,Ultra lightweight walking shoes with responsive 5GEN cushioning for all-day comfort,Skechers,Shoes,3499,4499,,https://flipkart.com/shoe006,in_stock,Navy,9,Mesh
SHOE007,New Balance 574,Heritage sneaker with ENCAP midsole technology and suede/mesh upper,New Balance,Shoes,6799,8499,https://images.unsplash.com/photo-1539185441755-769473a23570,https://flipkart.com/shoe007,out_of_stock,Green,11,Suede
DRESS001,Red Dress,Stylish party wear dress,Zara,Dresses,1799,2499,https://images.unsplash.com/photo-1595777457583-95e059d581b8,https://flipkart.com/dress001,in_stock,Red,M,Cotton
DRESS002,Floral Maxi Dress,Beautiful floral printed maxi dress with adjustable straps and flowing silhouette,H&M,Dresses,2299,3499,https://images.unsplash.com/photo-1572804013309-59a88b7e92f1,https://flipkart.com/dress002,in_stock,Multi,S,Rayon
DRESS003,,Summer casual wear,Zara,Dresses,999,1499,,https://flipkart.com/dress003,in_stock,Yellow,L,
DRESS004,Black Bodycon Dress,Slim-fit bodycon dress with side ruching and round neckline for evening parties,Forever 21,Dresses,1499,2199,https://images.unsplash.com/photo-1566174053879-31528523f8ae,https://flipkart.com/dress004,in_stock,Black,M,Polyester
BAG001,Puma Backpack,,Puma,Bags,abc,1299,,https://flipkart.com/bag001,out_of_stock,,,Polyester
BAG002,Wildcraft Hiking Backpack 45L,Durable 45-liter hiking backpack with rain cover and multiple compartments,Wildcraft,Bags,2999,4299,https://images.unsplash.com/photo-1553062407-98eeb64c6a62,https://flipkart.com/bag002,in_stock,Army Green,,Nylon
BAG003,American Tourister Laptop Bag,Sleek 15.6-inch laptop bag with padded compartment and organizer pockets,American Tourister,Bags,1799,2499,https://images.unsplash.com/photo-1622560480605-d83c853bc5c3,https://flipkart.com/bag003,in_stock,Grey,,Polyester
BAG004,Skybags Casual Daypack,,Skybags,Bags,899,899,https://images.unsplash.com/photo-1581605405669-fcdf81165afa,https://flipkart.com/bag004,out_of_stock,Red,,Polyester
WATCH001,Titan Analog Watch,Classic analog watch with leather strap and water resistant up to 30m,Titan,Watches,2499,3499,https://images.unsplash.com/photo-1524592094714-0f0654e20314,https://flipkart.com/watch001,in_stock,Brown,Free Size,Leather
WATCH002,Fossil Gen 6 Smartwatch,Advanced smartwatch with heart rate monitor and GPS tracking and SpO2 sensor,Fossil,Watches,14999,19999,https://images.unsplash.com/photo-1579586337278-3befd40fd17a,https://flipkart.com/watch002,in_stock,Silver,Free Size,Stainless Steel
WATCH003,Casio G-Shock,Rugged digital watch with shock resistance and 200m water resistance,Casio,Watches,6999,9999,https://images.unsplash.com/photo-1548171915-f3e0c5eb3d25,https://flipkart.com/watch003,in_stock,Black,Free Size,Resin
WATCH004,Noise ColorFit Pro 4,Budget smartwatch with AMOLED display and 7-day battery life,Noise,Watches,2499,4999,https://images.unsplash.com/photo-1617043786394-f977fa12eddf,https://flipkart.com/watch004,in_stock,Midnight Blue,Free Size,Silicone
SHIRT001,Allen Solly Formal Shirt,Premium cotton formal shirt for office wear with regular fit,Allen Solly,Clothing,1299,1999,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf,https://flipkart.com/shirt001,in_stock,White,L,Cotton
SHIRT002,Levi's Denim Shirt,Classic western denim shirt with pearl snap buttons and yoke detailing,Levi's,Clothing,2799,3999,https://images.unsplash.com/photo-1596755094514-f87e34085b2c,https://flipkart.com/shirt002,in_stock,Blue,M,Denim
SHIRT003,Van Heusen Polo T-Shirt,Comfortable polo t-shirt with classic fit and ribbed collar,Van Heusen,Clothing,799,1299,https://images.unsplash.com/photo-1618354691373-d851c5c3a990,https://flipkart.com/shirt003,in_stock,Navy,XL,Cotton Blend
SHIRT004,Peter England Checked Shirt,,Peter England,Clothing,1599,1499,https://images.unsplash.com/photo-1607345366928-199ea26cfe3e,https://flipkart.com/shirt004,in_stock,Blue Check,L,Cotton
SHIRT005,U.S. Polo Assn Casual Shirt,Casual button-down shirt with all-over print for weekend styling,U.S. Polo Assn,Clothing,1199,1799,https://images.unsplash.com/photo-1588359348347-9bc6cbbb689e,https://flipkart.com/shirt005,out_of_stock,Green,M,Cotton
ELEC001,Samsung Galaxy Buds,Wireless earbuds with active noise cancellation and long battery life,Samsung,Electronics,4999,6999,https://images.unsplash.com/photo-1590658268037-6bf12165a8df,https://flipkart.com/elec001,in_stock,White,,Plastic
ELEC002,boAt Rockerz 450,Wireless over-ear headphones with 40mm drivers and 15-hour playback,boAt,Electronics,999,1999,https://images.unsplash.com/photo-1505740420928-5e560c06d30e,https://flipkart.com/elec002,in_stock,Black,,Plastic
ELEC003,JBL Flip 6 Bluetooth Speaker,Portable waterproof speaker with powerful JBL Original Pro Sound and 12-hour battery,JBL,Electronics,9499,12999,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1,https://flipkart.com/elec003,in_stock,Red,,Fabric
ELEC004,Apple AirPods Pro 2,,Apple,Electronics,24999,24999,,https://flipkart.com/elec004,in_stock,White,,
ELEC005,Sony WH-1000XM5,Industry-leading noise cancelling headphones with 30-hour battery and multipoint connection,Sony,Electronics,22990,29990,https://images.unsplash.com/photo-1618366712010-f4ae9c647dcb,https://flipkart.com/elec005,in_stock,Black,,Synthetic Leather
ELEC006,Realme Buds Air 5 Pro,Premium TWS earbuds with LDAC codec and 50dB ANC and spatial audio,Realme,Electronics,3499,4999,https://images.unsplash.com/photo-1606220588913-b3aacb4d2f46,https://flipkart.com/elec006,out_of_stock,Midnight Black,,Plastic
BEAUTY001,Lakme Absolute Skin Dew Foundation,Lightweight foundation with natural dewy finish and SPF 35 protection,Lakme,Beauty,649,899,https://images.unsplash.com/photo-1586495777744-4413f21062fa,https://flipkart.com/beauty001,in_stock,Natural Pearl,,
BEAUTY002,Maybelline Fit Me Concealer,Lightweight oil-free concealer for natural flawless coverage,Maybelline,Beauty,399,549,https://images.unsplash.com/photo-1596462502278-27bfdc403348,https://flipkart.com/beauty002,in_stock,Sand,,
BEAUTY003,Forest Essentials Night Cream,,Forest Essentials,Beauty,1875,1875,https://images.unsplash.com/photo-1556228578-0d85b1a4d571,https://flipkart.com/beauty003,in_stock,,,
